Specialist Task,Specialist Cluster,Cluster Family
Analyse data to assess operational or project effectiveness,Use data to inform operational decisions,"Data, analytics, and databases"
Analyse data to inform operational decisions or activities,Use data to inform operational decisions,"Data, analytics, and databases"
Analyse data to inform staffing decisions,Use data to inform operational decisions,"Data, analytics, and databases"
Analyse data to identify or resolve operational problems,Use data to inform operational decisions,"Data, analytics, and databases"
Calculate data to inform organisational operations,Use data to inform operational decisions,"Data, analytics, and databases"
Conduct quantitative failure analyses of operational data,Use data to inform operational decisions,"Data, analytics, and databases"
Analyse operational data,Use data to inform operational decisions,"Data, analytics, and databases"
Evaluate applicable laws and regulations to determine impact on organisational activities,Use data to inform operational decisions,"Data, analytics, and databases"
Analyse data to determine project feasibility,Use data to inform operational decisions,"Data, analytics, and databases"
"Analyse operational data to evaluate operations, processes or products",Use data to inform operational decisions,"Data, analytics, and databases"
"Manage operations, research or logistics projects",Operations research and management,"Data, analytics, and databases"
Manage inventories of products or organisational resources,Operations research and management,"Data, analytics, and databases"
Interpret research or operational data,Operations research and management,"Data, analytics, and databases"
Record research or operational data,Operations research and management,"Data, analytics, and databases"
Analyse operational or research data,Operations research and management,"Data, analytics, and databases"
Research industrial processes or operations,Operations research and management,"Data, analytics, and databases"
Manage scientific or technical project resources,Operations research and management,"Data, analytics, and databases"
Conduct scientific research of organisational behaviour or processes,Operations research and management,"Data, analytics, and databases"
Analyse market research data,Analyse market data and trends,"Data, analytics, and databases"
Analyse consumer trends,Analyse market data and trends,"Data, analytics, and databases"
Analyse market conditions or trends,Analyse market data and trends,"Data, analytics, and databases"
Monitor market conditions or trends,Analyse market data and trends,"Data, analytics, and databases"
"Forecast economic, political, social or financial trends",Analyse market data and trends,"Data, analytics, and databases"
Conduct market research,Analyse market data and trends,"Data, analytics, and databases"
Analyse industry trends,Analyse market data and trends,"Data, analytics, and databases"
Analyse market or customer related data,Analyse market data and trends,"Data, analytics, and databases"
Develop pricing forecasts and models,Analyse market data and trends,"Data, analytics, and databases"
Analyse data to identify trends or relationships among variables,Undertake research and analyse data,"Data, analytics, and databases"
Conduct research on social issues,Undertake research and analyse data,"Data, analytics, and databases"
Analyse geological or geographical data,Undertake research and analyse data,"Data, analytics, and databases"
Develop methods of social or economic research,Undertake research and analyse data,"Data, analytics, and databases"
Plan social sciences research,Undertake research and analyse data,"Data, analytics, and databases"
Research social issues,Undertake research and analyse data,"Data, analytics, and databases"
Analyse health-related data,Undertake research and analyse data,"Data, analytics, and databases"
Develop theories or models of social phenomena,Undertake research and analyse data,"Data, analytics, and databases"
Apply machine learning techniques to data,Undertake research and analyse data,"Data, analytics, and databases"
